section	canonical_label	action_slug	source_labels	normalization_status	representative_source_label	first_timecode	about_summary	primary_value	primary_tokens	primary_kind	primary_value_status	primary_value_source	secondary_value	secondary_tokens	secondary_kind	secondary_value_status	secondary_value_source	resolution_status	change_note	export_xml_tag	export_status
FLIGHT THROTTLE	SET SPEED TO -75%	set_speed_to_75pct	SET SPEED TO -75%	exact	SET SPEED TO -75%	0:07:08		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		SetSpeedMinus75	ready
FLIGHT THROTTLE	SET SPEED TO -50%	set_speed_to_50pct	SET SPEED TO -50%	exact	SET SPEED TO -50%	0:07:08	Directly set speed to 50% reverse. This | setting can be used with other throttle | inputs but will be overridden once a	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		SetSpeedMinus50	ready
FLIGHT THROTTLE	SET SPEED TO -25%	set_speed_to_25pct	SET SPEED TO -25% | SET SPFED TO -259%	exact	SET SPEED TO -25%	0:07:47	Directly set speed to 25% reverse. This | setting can be used with other throttle | inputs but will be overridden once a	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		SetSpeedMinus25	ready
FLIGHT THROTTLE	SET SPEED TO 0%	set_speed_to_0pct	SET SPEED TO 0%	exact	SET SPEED TO 0%	0:07:47	Directly set speed to zero. This setting | can be used with other throttle inputs | but will be overridden once a new	L1+R1	"[""L1"", ""R1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Zero speed parked on L1+R1.	SetSpeedZero	ready
FLIGHT THROTTLE	SET SPEED TO 25%	set_speed_to_25pct	SET SPEED TO 25%	exact	SET SPEED TO 25%	0:08:17	Directly set speed to 25% forward. This | setting can be used with other throttle | inputs but will be overridden once a	SQUARE+DPAD_DOWN	"[""SQUARE"", ""DPAD_DOWN""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		SetSpeed25	ready
FLIGHT THROTTLE	SET SPEED TO 50%	set_speed_to_50pct	SET SPEED TO 50% | SET SPFED TO 50%	exact	SET SPEED TO 50%	0:08:18		SQUARE+R1	"[""SQUARE"", ""R1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		SetSpeed50	ready
FLIGHT THROTTLE	SET SPEED TO 75%	set_speed_to_75pct	SET SPEED TO 75% | SET SPFED TO 75%	exact	SET SPEED TO 75%	0:08:33	Directly set speed to 75% forward. This | v setting can be used with other throttle | inputs but will be overridden once a	CIRCLE	"[""CIRCLE""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Captain note: safest cruise-speed keybind lives on CIRCLE.	SetSpeed75	ready
FLIGHT THROTTLE	SET SPEED TO 100%	set_speed_to_100pct	SET SPEED TO 100%	exact	SET SPEED TO 100%	0:08:33	Directly set speed to 100% forward. This | setting can be used with other throttle | inputs but will be overridden once a	CROSS+R1	"[""CROSS"", ""R1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Maximum forward mnemonic: CROSS for maXimum + R1 for right/forward.	SetSpeed100	ready
FLIGHT MISCELLANEOUS	TOGGLE FLIGHT ASSIST	toggle_flight_assist	TOGGLE FLIGHT ASSIST	exact	TOGGLE FLIGHT ASSIST	0:12:07	When used, will disable the flight | assistance system responsible for | countering thrust and ensuring the ship	TRIANGLE+R1	"[""TRIANGLE"", ""R1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Custom flight-assist toggle confirmed as TRIANGLE+R1.	ToggleFlightAssist	ready
FLIGHT MISCELLANEOUS	ENGINE BOOST	engine_boost	ENGINE BOOST	exact	ENGINE BOOST	0:12:07	Uses energy from the engine capacitor | to overcharge the main drives providing | a temporary boost in acceleration,	CIRCLE+L1	"[""CIRCLE"", ""L1""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Custom boost combo confirmed as CIRCLE+L1.	UseBoostJuice	ready
FLIGHT MISCELLANEOUS	TOGGLE FRAME SHIFT DRIVE	toggle_frame_shift_drive	TOGGLE FRAME SHIFT DRIVE	exact	TOGGLE FRAME SHIFT DRIVE	0:12:07		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		HyperSuperCombination	ready
FLIGHT MISCELLANEOUS	SUPERCRUISE	supercruise	SUPERCRUISE	exact	SUPERCRUISE	0:12:07	This will engage the FSD to supercruise. | This can be used to exit supercruise as | well.	TRIANGLE+DPAD_DOWN	"[""TRIANGLE"", ""DPAD_DOWN""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Custom supercruise combo confirmed as TRIANGLE+DPAD_DOWN.	Supercruise	ready
FLIGHT MISCELLANEOUS	HYPERSPACE JUMP	hyperspace_jump	HYPERSPACE JUMP | HYPERSPAGE JUMP	exact	HYPERSPACE JUMP	0:12:07	This will engage the FSD to perform a | hyperspace jump to the currently | targeted system or follow a scanned	TRIANGLE+DPAD_UP	"[""TRIANGLE"", ""DPAD_UP""]"	button_binding	confirmed	manual-override		[]	empty			confirmed	Custom hyperspace combo confirmed as TRIANGLE+DPAD_UP.	Hyperspace	ready
FLIGHT MISCELLANEOUS	ROTATIONAL CORRECTION	rotational_correction	ROTATIONAL CORRECTION	exact	ROTATIONAL CORRECTION	0:12:07	Toggles rotational correction on or off | (used within rotating structures to aid | navigation within them).	UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		DisableRotationCorrectToggle	ready
FLIGHT MISCELLANEOUS	TOGGLE ORBIT LINES	toggle_orbit_lines	TOGGLE ORBIT LINES	exact	TOGGLE ORBIT LINES	0:12:07	This will draw lines along the orbital | paths of all nearby planets when in | supercruise mode.	R3	"[""R3""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		OrbitLinesToggle	ready
TARGETING	SELECT TARGET AHEAD	select_target_ahead	SELECT TARGET AHEAD	exact	SELECT TARGET AHEAD	0:14:56	Selects the highlighted target on the	CROSS	"[""CROSS""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		SelectTarget	ready
TARGETING	CYCLE NEXT TARGET	cycle_next_target	CYCLE NEXT TARGET	exact	CYCLE NEXT TARGET	0:14:56		CROSS+DPAD_LEFT	"[""CROSS"", ""DPAD_LEFT""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		CycleNextTarget	ready
TARGETING	CYCLE PREVIOUS SHIP	cycle_previous_ship	CYCLE PREVIOUS SHIP	exact	CYCLE PREVIOUS SHIP	0:14:56		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		CyclePreviousTarget	ready
TARGETING	SELECT HIGHEST THREAT	select_highest_threat	SELECT HIGHEST THREAT	exact	SELECT HIGHEST THREAT	0:14:56		CROSS+DPAD_DOWN	"[""CROSS"", ""DPAD_DOWN""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		SelectHighestThreat	ready
TARGETING	CYCLE NEXT HOSTILE TARGET	cycle_next_hostile_target	CYCLE NEXT HOSTILE TARGET	exact	CYCLE NEXT HOSTILE TARGET	0:14:56		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		CycleNextHostileTarget	ready
TARGETING	CYCLE PREVIOUS HOSTILE SHIP	cycle_previous_hostile_ship	CYCLE PREVIOUS HOSTILE SHIP	exact	CYCLE PREVIOUS HOSTILE SHIP	0:14:56		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		CyclePreviousHostileTarget	ready
TARGETING	SELECT WINGMAN 1	select_wingman_1	SELECT WINGMAN 1	exact	SELECT WINGMAN 1	0:14:56		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		TargetWingman0	ready
TARGETING	SELECT WINGMAN 2	select_wingman_2	SELECT WINGMAN 2	exact	SELECT WINGMAN 2	0:14:56		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		TargetWingman1	ready
TARGETING	SELECT WINGMAN 3	select_wingman_3	SELECT WINGMAN 3	exact	SELECT WINGMAN 3	0:14:56		UNASSIGNED	[]	button_binding	confirmed	manual-override		[]	empty			confirmed		TargetWingman2	ready
TARGETING	SELECT WINGMAN'S TARGET	select_wingmans_target	SELECT WINGMAN S TARGET	aliased	SELECT WINGMAN S TARGET	0:14:56		CROSS+DPAD_RIGHT	"[""CROSS"", ""DPAD_RIGHT""]"	button_binding	confirmed	manual-override		[]	empty			confirmed		SelectTargetsTarget	ready
TARGETING	WINGMAN NAV-LOCK	wingman_nav_lock	WINGMAN NAV-LOCK	manual-supplement	WINGMAN NAV-LOCK	0:00:35	Slave frame shift drive to the selected wingman.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	WingNavLock	ready
TARGETING	CYCLE NEXT SUBSYSTEM	cycle_next_subsystem	CYCLE NEXT SUBSYSTEM	manual-supplement	CYCLE NEXT SUBSYSTEM	0:00:36	Cycles forward through target subsystems.	CROSS+DPAD_UP	"[""CROSS"", ""DPAD_UP""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	CycleNextSubsystem	ready
TARGETING	CYCLE PREVIOUS SUBSYSTEM	cycle_previous_subsystem	CYCLE PREVIOUS SUBSYSTEM	manual-supplement	CYCLE PREVIOUS SUBSYSTEM	0:00:36	Cycles backward through target subsystems.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	CyclePreviousSubsystem	ready
TARGETING	TARGET NEXT SYSTEM IN ROUTE	target_next_system_in_route	TARGET NEXT SYSTEM IN ROUTE	manual-supplement	TARGET NEXT SYSTEM IN ROUTE	0:00:36	Targets the next plotted route system.	CIRCLE+R1	"[""CIRCLE"", ""R1""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	TargetNextRouteSystem	ready
WEAPONS	PRIMARY FIRE	primary_fire	PRIMARY FIRE	manual-supplement	PRIMARY FIRE	0:03:15	Primary weapon and module trigger.	R2	"[""R2""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	PrimaryFire	ready
WEAPONS	SECONDARY FIRE	secondary_fire	SECONDARY FIRE	manual-supplement	SECONDARY FIRE	0:03:15	Secondary weapon and module trigger.	L2	"[""L2""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	SecondaryFire	ready
WEAPONS	CYCLE NEXT FIRE GROUP	cycle_next_fire_group	CYCLE NEXT FIRE GROUP	manual-supplement	CYCLE NEXT FIRE GROUP	0:03:15	Cycles current fire group forward.	SQUARE+L1	"[""SQUARE"", ""L1""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	CycleFireGroupNext	ready
WEAPONS	CYCLE PREVIOUS FIRE GROUP	cycle_previous_fire_group	CYCLE PREVIOUS FIRE GROUP	manual-supplement	CYCLE PREVIOUS FIRE GROUP	0:03:15	Cycles current fire group backward.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	CycleFireGroupPrevious	ready
WEAPONS	DEPLOY HARDPOINTS	deploy_hardpoints	DEPLOY HARDPOINTS	manual-supplement	DEPLOY HARDPOINTS	0:03:15	Toggles hardpoints.	SQUARE	"[""SQUARE""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	DeployHardpointToggle	ready
COOLING	SILENT RUNNING	silent_running	SILENT RUNNING	manual-supplement	SILENT RUNNING	0:04:49	Toggles silent running.	TRIANGLE+L1	"[""TRIANGLE"", ""L1""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	ToggleButtonUpInput	ready
COOLING	DEPLOY HEATSINK	deploy_heatsink	DEPLOY HEATSINK	manual-supplement	DEPLOY HEATSINK	0:04:49	Deploys a single heatsink.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	DeployHeatSink	ready
MISCELLANEOUS	SHIP LIGHTS	ship_lights	SHIP LIGHTS	manual-supplement	SHIP LIGHTS	0:08:26	Toggles ship headlights.	TRIANGLE+R3	"[""TRIANGLE"", ""R3""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	ShipSpotLightToggle	ready
MISCELLANEOUS	INCREASE SENSOR ZOOM	increase_sensor_zoom	INCREASE SENSOR ZOOM	manual-supplement	INCREASE SENSOR ZOOM	0:08:25	Increases sensor zoom.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	RadarIncreaseRange	ready
MISCELLANEOUS	DECREASE SENSOR ZOOM	decrease_sensor_zoom	DECREASE SENSOR ZOOM	manual-supplement	DECREASE SENSOR ZOOM	0:08:25	Decreases sensor zoom.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	RadarDecreaseRange	ready
MISCELLANEOUS	DIVERT POWER TO ENGINES	divert_power_to_engines	DIVERT POWER TO ENGINES	manual-supplement	DIVERT POWER TO ENGINES	0:08:25	Diverts distributor power to engines.	DPAD_UP	"[""DPAD_UP""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	IncreaseEnginesPower	ready
MISCELLANEOUS	DIVERT POWER TO WEAPONS	divert_power_to_weapons	DIVERT POWER TO WEAPONS	manual-supplement	DIVERT POWER TO WEAPONS	0:08:25	Diverts distributor power to weapons.	DPAD_RIGHT	"[""DPAD_RIGHT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	IncreaseWeaponsPower	ready
MISCELLANEOUS	DIVERT POWER TO SYSTEMS	divert_power_to_systems	DIVERT POWER TO SYSTEMS	manual-supplement	DIVERT POWER TO SYSTEMS	0:08:25	Diverts distributor power to systems.	DPAD_LEFT	"[""DPAD_LEFT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	IncreaseSystemsPower	ready
MISCELLANEOUS	BALANCE POWER DISTRIBUTION	balance_power_distribution	BALANCE POWER DISTRIBUTION	manual-supplement	BALANCE POWER DISTRIBUTION	0:08:27	Balances distributor power.	DPAD_DOWN	"[""DPAD_DOWN""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	ResetPowerDistribution	ready
MISCELLANEOUS	CARGO SCOOP	cargo_scoop	CARGO SCOOP	manual-supplement	CARGO SCOOP	0:08:27	Toggles cargo scoop.	CIRCLE+DPAD_UP	"[""CIRCLE"", ""DPAD_UP""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	ToggleCargoScoop	ready
MISCELLANEOUS	JETTISON ALL CARGO	jettison_all_cargo	JETTISON ALL CARGO	manual-supplement	JETTISON ALL CARGO	0:08:27	Jettisons all cargo.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	EjectAllCargo	ready
MISCELLANEOUS	LANDING GEAR	landing_gear	LANDING GEAR	manual-supplement	LANDING GEAR	0:08:27	Toggles landing gear.	CIRCLE+DPAD_DOWN	"[""CIRCLE"", ""DPAD_DOWN""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	LandingGearToggle	ready
MISCELLANEOUS	USE SHIELD CELL	use_shield_cell	USE SHIELD CELL	manual-supplement	USE SHIELD CELL	0:09:57	Uses a shield cell.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	UseShieldCell	ready
MISCELLANEOUS	USE CHAFF LAUNCHER	use_chaff_launcher	USE CHAFF LAUNCHER	manual-supplement	USE CHAFF LAUNCHER	0:09:57	Fires chaff launcher.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	FireChaffLauncher	ready
MISCELLANEOUS	CHARGE ECM	charge_ecm	CHARGE ECM	manual-supplement	CHARGE ECM	0:09:57	Charges ECM.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	ChargeECM	ready
MISCELLANEOUS	WEAPON COLOUR	weapon_colour	WEAPON COLOUR	manual-supplement	WEAPON COLOUR	0:10:01	Toggles weapon colour customisation.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	WeaponColourToggle	ready
MISCELLANEOUS	ENGINE COLOUR	engine_colour	ENGINE COLOUR	manual-supplement	ENGINE COLOUR	0:10:02	Toggles engine colour customisation.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	EngineColourToggle	ready
MISCELLANEOUS	NIGHT VISION	night_vision	NIGHT VISION	manual-supplement	NIGHT VISION	0:10:02	Toggles night vision.	TRIANGLE+L3	"[""TRIANGLE"", ""L3""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; PC XML tag verified from Elite's saved XInput profile as NightVisionToggle.	NightVisionToggle	ready
MODE SWITCHES	EXTERNAL PANEL	external_panel	EXTERNAL PANEL	manual-supplement	EXTERNAL PANEL	0:12:17	Focuses the external/left interface panel.	SQUARE+DPAD_LEFT	"[""SQUARE"", ""DPAD_LEFT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	FocusLeftPanel	ready
MODE SWITCHES	COMMS PANEL	comms_panel	COMMS PANEL	manual-supplement	COMMS PANEL	0:12:19	Opens and focuses the communications panel.	SQUARE+DPAD_UP	"[""SQUARE"", ""DPAD_UP""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	FocusCommsPanel	ready
MODE SWITCHES	QUICK COMMS	quick_comms	QUICK COMMS	manual-supplement	QUICK COMMS	0:12:19	Opens quick communications.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	QuickCommsPanel	ready
MODE SWITCHES	ROLE PANEL	role_panel	ROLE PANEL	manual-supplement	ROLE PANEL	0:12:19	Focuses the role/radar panel.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	FocusRadarPanel	ready
MODE SWITCHES	INTERNAL PANEL	internal_panel	INTERNAL PANEL	manual-supplement	INTERNAL PANEL	0:12:19	Focuses the internal/right interface panel.	SQUARE+DPAD_RIGHT	"[""SQUARE"", ""DPAD_RIGHT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	FocusRightPanel	ready
MODE SWITCHES	OPEN GALAXY MAP	open_galaxy_map	OPEN GALAXY MAP	manual-supplement	OPEN GALAXY MAP	0:12:20	Opens the galaxy map.	TRIANGLE+DPAD_LEFT	"[""TRIANGLE"", ""DPAD_LEFT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	GalaxyMapOpen	ready
MODE SWITCHES	OPEN SYSTEM MAP	open_system_map	OPEN SYSTEM MAP	manual-supplement	OPEN SYSTEM MAP	0:12:21	Opens the system map.	TRIANGLE+DPAD_RIGHT	"[""TRIANGLE"", ""DPAD_RIGHT""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	SystemMapOpen	ready
MODE SWITCHES	SHOW CQC SCORE SCREEN	show_cqc_score_screen	SHOW CQC SCORE SCREEN	manual-supplement	SHOW CQC SCORE SCREEN	0:12:22	Shows CQC score summary.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	ShowPGScoreSummaryInput	ready
HEADLOOK MODE	HEADLOOK	headlook	HEADLOOK	manual-supplement	HEADLOOK	0:13:36	Toggles headlook.	R3+L3	"[""R3"", ""L3""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	HeadLookToggle	ready
GALAXY MAP	OPEN DISCOVERY	open_discovery	OPEN DISCOVERY	manual-supplement	OPEN DISCOVERY	0:13:37	Opens the discovery/codex panel.	UNASSIGNED	[]	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video; visible row is blank.	OpenCodexGoToDiscovery	ready
GALAXY MAP	SWITCH COCKPIT MODE	switch_cockpit_mode	SWITCH COCKPIT MODE	manual-supplement	SWITCH COCKPIT MODE	0:13:37	Switches cockpit HUD mode.	TOUCHPAD	"[""TOUCHPAD""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	PlayerHUDModeToggle	ready
GALAXY MAP	ENTER FSS MODE	enter_fss_mode	ENTER FSS MODE	manual-supplement	ENTER FSS MODE	0:14:36	Enters Full Spectrum System mode.	TOUCHPAD	"[""TOUCHPAD""]"	button_binding	confirmed	manual-canonical		[]	empty			confirmed	Recovered from second original controls video.	ExplorationFSSEnter	ready
